time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-15T20:44:34.850Z,-29.4076,-176.7302,10,5.1,mb,,85,1.059,1.1,us,us7000djlc,2021-03-15T20:58:58.040Z,"Kermadec Islands region",earthquake,7.7,1.9,0.108,28,reviewed,us,us
2021-03-15T19:56:16.695Z,36.1389,139.8155,40.44,5,mb,,96,1.357,1.07,us,us7000djl3,2021-03-15T21:23:32.809Z,"4 km NNE of Sakai, Japan",earthquake,6.4,5.9,0.059,92,reviewed,us,us
2021-03-15T19:28:46.370Z,-29.3194,-176.7843,10,5.2,mb,,61,1.002,1.54,us,us7000djkm,2021-03-15T19:46:41.040Z,"Kermadec Islands region",earthquake,10.1,1.9,0.08,51,reviewed,us,us
2021-03-15T17:39:16.366Z,-14.8094,-74.3884,61.43,4.2,mb,,148,3.683,0.88,us,us7000djjv,2021-03-15T18:53:50.631Z,"25 km SW of San Juan, Peru",earthquake,9.5,9.2,0.152,12,reviewed,us,us
2021-03-15T17:08:57.837Z,61.0631,-138.7557,10,2.8,ml,,70,0.654,0.62,us,us7000djjq,2021-03-15T18:49:25.040Z,"75 km WNW of Haines Junction, Canada",earthquake,3,2,0.037,94,reviewed,us,us
2021-03-15T15:43:38.356Z,39.7909,22.1534,10,4.9,mb,,36,0.405,0.59,us,us7000djjb,2021-03-15T18:38:30.888Z,"11 km SSW of Tsarítsani, Greece",earthquake,4.1,1.9,0.075,59,reviewed,us,us
2021-03-15T15:37:11.199Z,-24.1581,-67.3167,198.38,4.4,mb,,106,1.437,0.75,us,us7000djj9,2021-03-15T18:52:01.162Z,"101 km W of San Antonio de los Cobres, Argentina",earthquake,12.9,19.4,0.38,2,reviewed,us,us
2021-03-15T15:33:02.730Z,-6.8505,126.8488,415.24,4.3,mb,,50,3.854,0.48,us,us7000djj8,2021-03-15T16:00:07.040Z,"184 km NNE of Baukau, Timor Leste",earthquake,11.7,9.1,0.093,33,reviewed,us,us
2021-03-15T14:23:33.040Z,19.1403,-67.294,65,3.58,md,14,292,0.6972,0.55,pr,pr2021074006,2021-03-15T17:10:00.040Z,"74 km NNW of San Antonio, Puerto Rico",earthquake,3.79,7.32,0.06,10,reviewed,pr,pr
2021-03-15T14:19:06.751Z,59.9755,-152.1763,44.4,2.5,ml,,,,0.84,ak,ak0213em7u2t,2021-03-15T17:07:23.040Z,"25 km W of Happy Valley, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-03-15T14:02:29.170Z,56.7905,-157.6309,85.2,2.6,ml,,,,0.49,ak,ak0213em48p1,2021-03-15T14:19:35.040Z,"63 km ESE of Port Heiden, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-03-15T13:59:11.898Z,37.715,-97.2322,5,3.2,mb_lg,,125,0.663,0.24,us,us7000djhz,2021-03-15T21:12:29.293Z,"4 km NE of Eastborough, Kansas",earthquake,1.4,1.9,0.048,112,reviewed,us,us
2021-03-15T13:52:28.495Z,37.7096,-97.2376,5,3.1,mb_lg,,77,0.661,0.25,us,us7000djhu,2021-03-15T21:00:32.671Z,"3 km NE of Eastborough, Kansas",earthquake,1,2,0.046,128,reviewed,us,us
2021-03-15T13:13:14.849Z,-23.8319,-179.3479,521.96,4.6,mb,,153,6.526,0.49,us,us7000djhk,2021-03-15T13:31:50.040Z,"south of the Fiji Islands",earthquake,18.2,12.8,0.109,25,reviewed,us,us
2021-03-15T13:10:56.726Z,7.3105,126.6527,73.85,4.7,mb,,107,1.091,0.5,us,us7000djhj,2021-03-15T13:47:49.040Z,"9 km ENE of Santiago, Philippines",earthquake,8.2,7.2,0.071,60,reviewed,us,us
2021-03-15T12:41:02.820Z,18.5521,-67.0716,79,3.22,md,11,211,0.0934,0.16,pr,pr2021074005,2021-03-15T12:56:12.927Z,"7 km NNE of San Antonio, Puerto Rico",earthquake,1,0.95,0.18,5,reviewed,pr,pr
2021-03-15T11:47:29.220Z,19.4348335266113,-155.476333618164,0.0500000007450581,2.57,ml,43,40,,0.140000001,hv,hv72384192,2021-03-15T19:15:44.852Z,"25 km W of Volcano, Hawaii",earthquake,0.3,0.810000002,0.52,4,automatic,hv,hv
2021-03-15T11:41:33.728Z,-4.4879,152.684,20.3,5.3,mww,,60,8.726,0.78,us,us7000djh0,2021-03-15T20:20:39.640Z,"48 km ESE of Kokopo, Papua New Guinea",earthquake,8.7,4.9,0.098,10,reviewed,us,us
2021-03-15T11:20:10.898Z,15.1373,120.0956,55.31,4.6,mb,,63,7.696,0.55,us,us7000djgy,2021-03-15T21:23:46.524Z,"4 km NE of Maloma, Philippines",earthquake,6.8,7.4,0.064,73,reviewed,us,us
2021-03-15T11:20:05.879Z,44.377,-115.1996,10,3,ml,,75,0.235,0.98,us,us7000djgx,2021-03-15T16:09:48.690Z,"27 km NW of Stanley, Idaho",earthquake,1.5,2,0.042,74,reviewed,us,us
2021-03-15T10:44:40.874Z,-29.1325,-176.7105,10,4.9,mb,,70,1.071,1.04,us,us7000djgs,2021-03-15T11:09:38.040Z,"Kermadec Islands region",earthquake,9.8,1.9,0.054,110,reviewed,us,us
2021-03-15T09:57:50.320Z,19.1998329162598,-155.456497192383,36.9000015258789,2.47,ml,51,113,,0.140000001,hv,hv72384077,2021-03-15T10:03:21.290Z,"2 km E of Pāhala, Hawaii",earthquake,0.47,0.699999988,3.66,24,automatic,hv,hv
2021-03-15T09:53:42.366Z,12.5221,-89.2405,58.46,4.5,mb,,160,2.028,0.91,us,us7000djgi,2021-03-15T10:33:21.040Z,"107 km S of La Libertad, El Salvador",earthquake,7.7,10,0.039,191,reviewed,us,us
2021-03-15T09:22:26.230Z,17.977,-66.9005,13,2.7,md,8,195,0.1439,0.18,pr,pr2021074003,2021-03-15T09:55:42.455Z,"0 km NE of Guánica, Puerto Rico",earthquake,0.84,0.91,0.11,5,reviewed,pr,pr
2021-03-15T07:14:51.950Z,36.5410004,-121.142334,4.89,2.55,md,31,73,0.09081,0.32,nc,nc73535291,2021-03-15T17:18:17.447Z,"1km N of Pinnacles, CA",earthquake,0.52,2,0.19,31,automatic,nc,nc
2021-03-15T07:03:56.120Z,19.1599998474121,-155.471160888672,32.7599983215332,2.64,ml,48,108,,0.140000001,hv,hv72383922,2021-03-15T08:39:27.211Z,"4 km S of Pāhala, Hawaii",earthquake,0.54,0.850000024,0.45,4,automatic,hv,hv
2021-03-15T06:59:41.910Z,19.3325,-155.202166666667,7.01,4.07,ml,57,80,,0.1,hv,hv72383917,2021-03-15T21:08:00.775Z,"12 km SSE of Volcano, Hawaii",earthquake,0.26,0.33,0.187121632538925,34,reviewed,hv,hv
2021-03-15T06:43:40.080Z,19.1978340148926,-155.454833984375,37.2299995422363,2.47000003,md,48,116,,0.109999999,hv,hv72383892,2021-03-15T07:13:35.204Z,"2 km ESE of Pāhala, Hawaii",earthquake,0.53,0.850000024,0.949999988,27,automatic,hv,hv
2021-03-15T06:27:25.109Z,7.9867,-37.9464,10,4.9,mb,,81,13.874,0.79,us,us7000djfh,2021-03-15T06:58:21.040Z,"central Mid-Atlantic Ridge",earthquake,7.1,1.8,0.065,75,reviewed,us,us
2021-03-15T05:44:26.030Z,19.056,-66.8256,9,3.08,md,23,243,0.6502,0.23,pr,pr2021074002,2021-03-15T06:46:33.944Z,"63 km N of Hatillo, Puerto Rico",earthquake,1.05,1.85,0.12,22,reviewed,pr,pr
2021-03-15T05:23:04.300Z,-22.7952,172.9753,10,4.7,mb,,113,6.924,0.95,us,us7000djf9,2021-03-15T06:21:18.040Z,"southeast of the Loyalty Islands",earthquake,12.4,2,0.127,19,reviewed,us,us
2021-03-15T05:13:30.214Z,51.89,-174.257,18.63,3.9,mb,,200,0.314,1.1,us,us7000djfd,2021-03-15T06:33:33.040Z,"34 km S of Atka, Alaska",earthquake,3.7,7.2,0.121,21,reviewed,us,us
2021-03-15T03:17:36.367Z,69.6503,-144.7961,0,3.1,ml,,,,0.9,ak,ak0213efnph1,2021-03-15T04:17:02.040Z,"70 km SW of Kaktovik, Alaska",earthquake,,1,,,automatic,ak,ak
2021-03-15T02:47:44.846Z,-29.9543,-178.0049,10,4.9,mb,,133,0.71,0.49,us,us7000djep,2021-03-15T03:37:27.040Z,"Kermadec Islands, New Zealand",earthquake,5.8,1.9,0.122,21,reviewed,us,us
2021-03-15T01:55:48.781Z,37.1154,28.7954,6.02,4.4,mb,,40,0.964,0.98,us,us7000dje3,2021-03-15T02:16:38.040Z,"30 km N of Ortaca, Turkey",earthquake,5.1,5.3,0.087,38,reviewed,us,us
2021-03-15T01:20:08.520Z,44.3221667,-116.1801667,10.85,2.68,ml,10,140,0.574,0.2,mb,mb80491654,2021-03-15T16:49:00.230Z,"7 km WNW of Smiths Ferry, Idaho",earthquake,0.61,0.96,0.203,17,reviewed,mb,mb
2021-03-15T01:18:53.396Z,44.3079,-116.1786,10.65,2.5,ml,,140,0.567,0.48,us,us7000djdu,2021-03-15T18:04:12.810Z,"7 km W of Smiths Ferry, Idaho",earthquake,1.6,8.5,0.066,30,reviewed,us,us
2021-03-15T01:12:24.921Z,-39.008,178.1169,10,4.9,mb,,66,0.97,1.03,us,us7000djdq,2021-03-15T03:16:16.620Z,"40 km SSE of Gisborne, New Zealand",earthquake,3.7,1.6,0.108,27,reviewed,us,us
2021-03-15T00:14:25.461Z,-23.5587,-179.7632,544.91,5.2,mb,,125,5.897,0.97,us,us7000djdi,2021-03-15T00:25:33.040Z,"south of the Fiji Islands",earthquake,13.2,12.3,0.108,28,reviewed,us,us
2021-03-14T23:45:38.000Z,17.9895,-66.7258,13,2.47,md,19,166,0.1309,0.14,pr,pr2021073007,2021-03-15T00:21:00.754Z,"1 km WSW of Tallaboa, Puerto Rico",earthquake,0.56,0.24,0.15,13,reviewed,pr,pr
2021-03-14T23:08:31.605Z,37.7105,-97.2359,5,3.9,mb,,59,0.64,0.27,us,us7000djda,2021-03-15T21:21:45.283Z,"3 km NE of Eastborough, Kansas",earthquake,1.3,1.9,0.209,6,reviewed,us,us
2021-03-14T22:51:15.751Z,34.2046,45.5016,10,4,mb,,101,0.927,0.6,us,us7000djd7,2021-03-14T23:00:52.040Z,"43 km SW of Sarpol-e Z̄ahāb, Iran",earthquake,3.5,2,0.183,8,reviewed,us,us
2021-03-14T21:52:37.392Z,-6.2812,145.8343,114.82,4.7,mb,,94,4.478,0.74,us,us7000djcw,2021-03-14T22:04:05.040Z,"3 km WNW of Kainantu, Papua New Guinea",earthquake,10.5,8.9,0.11,25,reviewed,us,us
